question,answer,correct,note
How is the word 'bit' transcribed?,/bit/,FALSE,
,/b_t/,TRUE,
,/b_it/,FALSE,
,/bid/,FALSE,
How is the word 'missed' transcribed?,/m_st/,TRUE,
,/m_sst/,FALSE,Remember that 'missed' only has one /s/ sound.
,/m_sd/,FALSE,
,/mist/,FALSE,
How is the word 'beet' transcribed?,/bit/,TRUE,
,/b_t/,FALSE,
,/b_it/,FALSE,
,/bid/,FALSE,
Which is not a way to transcribe 'butter'?,/b_t_r/,FALSE,
,/b___r/ (_ = alveolar flap),FALSE,
,[b___r] (in British English),FALSE,
,[/b_dd_r/,TRUE,
Is the /k/ in ‘cup’ aspirated? ,Yes! It’s [k__p].,TRUE,
,No! It’s [k_p].,FALSE,